iter	Passed	Remaining
110	132848	1662400
111	133137	1649950
112	134725	1653666
113	134835	1639310
114	135999	1637907
115	138228	1649203
116	140215	1657424
117	142605	1670177
118	143082	1660475
119	143189	1646676
120	145190	1654697
121	145474	1643145
122	147188	1647792
123	148149	1643985
124	150043	1650480
125	150326	1639276
126	151302	1635733
127	151773	1626817
128	153151	1627681
129	155152	1635072
130	156860	1639254
131	158656	1644260
132	160987	1654660
133	163042	1662059
134	164891	1667234
135	167030	1675215
136	167151	1662971
137	169333	1671249
138	170089	1665405
139	172003	1670887
140	173960	1676678
141	174068	1664682
142	176092	1671031
143	178208	1678131
144	180300	1684880
145	182469	1692218
146	184876	1701614
147	186911	1707463
148	188879	1712589
149	190795	1717160
150	192439	1719214
151	194250	1722695
152	196124	1726665
153	198111	1731545
154	199783	1733603
155	201858	1739086
156	203782	1743184
157	205530	1745711
158	207439	1749536
159	209424	1753927
160	211325	1757548
161	213294	1761653
162	215366	1766532
163	217110	1768652
164	218801	1770306
165	220583	1772643
166	222269	1774161
167	223681	1773474
168	225385	1775074
169	227151	1777123
170	228645	1777018
171	230366	1778641
172	232099	1780322
173	233460	1779133
174	235577	1783657
175	237730	1788382
176	239935	1793419
177	241863	1796310
178	243882	1799823
179	245229	1798349
180	246568	1796815
181	248208	1797469
182	250097	1799882
183	252183	1803662
184	254034	1805703
185	255216	1802980
186	257050	1804852
187	258548	1804338
188	260438	1806535
189	262150	1807459
190	263745	1807554
191	265005	1805346
192	266465	1804508
193	267850	1803160
194	270279	1808793
195	271638	1807229
196	273303	1807685
197	274940	1807941
198	276890	1810222
199	278834	1812421
200	280625	1813594
201	282439	1814885
202	284004	1814550
203	285234	1812078
204	287001	1813010
205	288719	1813605
206	289916	1810929
207	291425	1810199
208	293472	1812789
209	295274	1813827
210	296849	1813454
211	298934	1816167
212	300486	1815616
213	301903	1814242
214	303796	1815715
215	305301	1814850
216	307046	1815395
217	308399	1813612
218	310053	1813601
219	311990	1815216
220	313933	1816837
221	315824	1818126
222	317857	1820200
223	319543	1820257
224	321399	1821265
225	322953	1820542
226	324997	1822560
227	326643	1822326
228	328431	1822864
229	330447	1824643
230	332609	1827191
231	334566	1828576
232	336492	1829766
233	337936	1828324
234	339069	1825203
235	341172	1827298
236	343051	1828162
237	344987	1829304
238	346964	1830638
239	348651	1830419
240	350648	1831812
241	352038	1830016
242	353638	1829317
243	355699	1830975
244	357059	1829021
245	358331	1826616
246	359843	1825441
247	361161	1823284
248	362825	1822872
249	364400	1822000
250	366368	1823085
251	367758	1821281
252	369748	1822436
253	371629	1823035
254	373328	1822719
255	375269	1823576
256	377049	1823628
257	379037	1824670
258	380677	1824017
259	382499	1824229
260	383809	1821990
261	385481	1821471
262	388002	1824940
263	389903	1825457
264	391394	1824044
265	393120	1823725
266	394741	1822907
267	396648	1823400
268	398204	1822267
269	400138	1822851
270	401727	1821854
271	403835	1823198
272	405432	1822219
273	407494	1823315
274	409575	1824473
275	411942	1826876
276	413898	1827430
277	416733	1831827
278	418701	1832380
279	421084	1834726
280	423434	1836891
281	425523	1837897
282	427514	1838461
283	429031	1836978
284	430692	1836112
285	432767	1836993
286	435116	1839010
287	437175	1839780
288	439135	1840114
289	440881	1839539
290	442740	1839429
291	444651	1839516
292	446670	1840040
293	449301	1843051
294	451416	1843921
295	453097	1843003
296	454667	1841632
297	456557	1841549
298	458316	1840931
299	460061	1840247
300	462100	1840724
301	463527	1838761
302	465395	1838542
303	466704	1836113
304	468333	1834945
305	470127	1834417
306	472098	1834573
307	474213	1835268
308	476151	1835263
309	477912	1834567
310	479470	1833088
311	481204	1832280
312	483170	1832342
313	484834	1831254
314	486710	1830956
315	488050	1828643
316	490152	1829179
317	491584	1827209
318	493462	1826894
319	495141	1825835
320	496893	1825038
321	498583	1824010
322	500450	1823623
323	501735	1821115
324	503600	1820708
325	504910	1818297
326	506832	1818088
327	508367	1816483
328	510242	1816091
329	511897	1814909
330	513657	1814096
331	514950	1811633
332	516492	1810049
333	517891	1807967
334	519440	1806413
335	520844	1804353
336	523135	1805359
337	524777	1804117
338	527150	1805373
339	529094	1805146
340	531237	1805583
341	533074	1804970
342	534855	1804164
343	536842	1804041
344	538260	1802002
345	540243	1801852
346	542007	1800963
347	543881	1800434
348	545866	1800263
349	547194	1797924
350	549221	1797877
351	550935	1796800
352	552767	1796102
353	554663	1795606
354	556119	1793682
355	557513	1791558
356	559370	1790924
357	561060	1789751
358	562424	1787537
359	564388	1787231
360	565635	1784651
361	567484	1783970
362	568952	1782090
363	570836	1781511
364	572180	1779244
365	574037	1778574
366	576577	1780006
367	578936	1780860
368	580506	1779277
369	582948	1780356
370	585750	1782513
371	587723	1782130
372	589757	1781920
373	591802	1781737
374	593516	1780548
375	595843	1781191
376	597833	1780813
377	600358	1782016
378	602302	1781479
379	604285	1781052
380	606400	1781004
381	608732	1781579
382	610740	1781192
383	613500	1782986
384	615292	1781950
385	617316	1781582
386	618799	1779647
387	620782	1779149
388	622420	1777658
389	623950	1775860
390	625965	1775437
391	627806	1774513
392	629158	1772210
393	631012	1771319
394	632825	1770308
395	634623	1769254
396	636455	1768289
397	638629	1768264
398	641417	1769927
399	643254	1768951
400	645310	1768568
401	647444	1768393
402	649637	1768367
403	651372	1767089
404	653053	1765662
405	654987	1764916
406	657142	1764758
407	658855	1763408
408	661296	1763996
409	663289	1763380
410	665408	1763090
411	667233	1762013
412	669791	1762866
413	672308	1763590
414	674654	1763854
415	676727	1763396
416	678632	1762490
417	680681	1761955
418	683083	1762322
419	684928	1761245
420	686739	1760075
421	688499	1758773
422	690326	1757640
423	691825	1755669
424	693170	1753313
425	694726	1751494
426	696710	1750750
427	699268	1751438
428	701319	1750847
429	704043	1751922
430	706332	1751902
431	708475	1751509
432	710081	1749785
433	711690	1748069
434	713500	1746845
435	715424	1745899
436	717629	1745630
437	719705	1745038
438	721431	1743596
439	722952	1741659
440	724954	1740876
441	727067	1740356
442	728974	1739337
443	731158	1738971
444	733322	1738549
445	735389	1737893
446	737454	1737225
447	739420	1736316
448	740904	1734276
449	742351	1732153
450	744332	1731274
451	746054	1729789
452	747540	1727759
453	749520	1726868
454	751316	1725549
455	753405	1724902
456	755392	1724013
457	757220	1722759
458	759220	1721892
459	760684	1719809
460	762059	1717526
461	763592	1715604
462	765226	1713909
463	767412	1713447
464	769349	1712424
465	770610	1709894
466	772446	1708645
467	774395	1707641
468	776466	1706902
469	778083	1705161
470	779439	1702850
471	780816	1700592
472	782356	1698690
473	783754	1696480
474	785748	1695561
475	787514	1694147
476	788762	1691622
477	790454	1690050
478	792550	1689341
479	793989	1687227
480	795502	1685275
481	797209	1683733
482	799204	1682796
483	800507	1680404
484	802114	1678651
485	803566	1676577
486	805124	1674724
487	806923	1673374
488	808762	1672104
489	810025	1669645
490	811934	1668516
491	813715	1667124
492	815625	1665994
493	817514	1664816
494	818931	1662679
495	820302	1660451
496	822651	1660199
497	824673	1659281
498	826554	1658077
499	828761	1657523
500	830279	1655587
501	832394	1654839
502	834534	1654136
503	836545	1653173
504	838740	1652567
505	840377	1650860
506	842736	1650566
507	844468	1649040
508	846439	1647978
509	848563	1647211
510	850248	1645587
511	852078	1644244
512	854012	1643100
513	855867	1641799
514	858056	1641138
515	860439	1640838
516	862547	1640007
517	864983	1639794
518	866811	1638423
519	868960	1637656
520	870734	1636177
521	872477	1634641
522	874804	1634195
523	877183	1633837
524	879925	1634146
525	882729	1634560
526	884887	1633767
527	887460	1633733
528	888919	1631645
529	891174	1631017
530	893558	1630617
531	895523	1629449
532	898084	1629358
533	900469	1628938
534	902661	1628165
535	905368	1628312
536	907896	1628127
537	910365	1627827
538	912597	1627099
539	915013	1626691
540	916921	1625374
541	918336	1623184
542	920209	1621804
543	922273	1620759
544	924631	1620226
545	928213	1621823
546	931092	1622178
547	932780	1620451
548	935321	1620201
549	937073	1618580
550	939411	1617969
551	941545	1617001
552	943214	1615232
553	945687	1614838
554	947988	1614143
555	950326	1613503
556	952406	1612422
557	954253	1610944
558	956275	1609758
559	958365	1608685
560	960197	1607175
561	961869	1605398
562	963916	1604244
563	965994	1603140
564	967814	1601604
565	970148	1600915
566	972097	1599589
567	974527	1599049
568	975979	1596901
569	978165	1595954
570	979567	1593726
571	981758	1592782
572	984136	1592136
573	985811	1590351
574	987498	1588584
575	988861	1586298
576	990290	1584122
577	992238	1582775
578	994009	1581145
579	995951	1579785
580	998278	1579033
581	999867	1577111
582	1001622	1575451
583	1003785	1574430
584	1005227	1572278
585	1007076	1570764
586	1008954	1569293
587	1010405	1567160
588	1012673	1566291
589	1014599	1564891
590	1016421	1563328
591	1018446	1562076
592	1020562	1560961
593	1022292	1559254
594	1023995	1557505
595	1026483	1556948
