iter	TotalF1	MultiClass
459	0.9216800049	0.2902375775
460	0.9217497941	0.2897537925
461	0.9218688012	0.2891244836
462	0.9220305606	0.2887375953
463	0.9221830145	0.288286763
464	0.9221857741	0.2878974841
465	0.9225430951	0.2869902304
466	0.922579109	0.2866959746
467	0.9226563484	0.2864608504
468	0.9227701071	0.286084365
469	0.9228776129	0.2857520663
470	0.9229551485	0.2851132024
471	0.9231001659	0.2845111097
472	0.9232640556	0.283873916
473	0.9232784511	0.2834389908
474	0.9233671149	0.283280866
475	0.9235261762	0.2829812483
476	0.9234211285	0.2824175339
477	0.9234989595	0.2820775094
478	0.9234044077	0.2817404119
479	0.9241861954	0.2811040662
480	0.9241592315	0.2805013131
481	0.9244651879	0.2799857835
482	0.9244557384	0.279703348
483	0.9244523651	0.2791480797
484	0.9249849555	0.2785373417
485	0.9251101234	0.2779691527
486	0.9252556447	0.277663775
487	0.9253079682	0.2775249539
488	0.9253031176	0.2771543919
489	0.9254129447	0.2767045952
490	0.9254306028	0.2763652021
491	0.9255752029	0.2760211718
492	0.9257596931	0.2755736565
493	0.9257330494	0.2752694682
494	0.9257450083	0.2749395882
495	0.9256769202	0.2746769776
496	0.9258132476	0.27413587
497	0.9259010378	0.2738496015
498	0.9260080515	0.2733936686
499	0.9259581708	0.2731269647
500	0.925893118	0.2728542233
501	0.9259397693	0.272329157
502	0.9259886013	0.2718590045
503	0.9265197586	0.2714405393
504	0.9265885756	0.2711426322
505	0.9269286444	0.2707111126
506	0.9268041014	0.2704891415
507	0.9268676816	0.2701177428
508	0.9275417935	0.2695912321
509	0.9275456033	0.2691788105
510	0.9274987334	0.2687302917
511	0.9276534125	0.268134869
512	0.9278548677	0.2676129297
513	0.9277763367	0.2672216639
514	0.9279930359	0.2669255807
515	0.9280761813	0.2665512585
516	0.9282349046	0.2663731161
517	0.9282842638	0.2656506854
518	0.9281189096	0.2652940758
519	0.9282251886	0.2650961234
520	0.9285023664	0.2645050552
521	0.9286949432	0.2640583496
522	0.928826596	0.2638699375
523	0.9287218869	0.2636408123
524	0.9287044858	0.2634517374
525	0.9288577609	0.2632843408
526	0.9288926909	0.2630027647
527	0.9290810885	0.2628237171
528	0.9291187495	0.2623792431
529	0.9293152945	0.262140851
530	0.9294910649	0.2619878158
531	0.9296839281	0.2617528083
532	0.930097247	0.2614203586
533	0.9298196248	0.2611174631
534	0.9299032796	0.2607571138
535	0.9295674924	0.2603879203
536	0.9298928432	0.2600402835
537	0.9298703912	0.2597223791
538	0.9297893012	0.2594596087
539	0.9299934562	0.2591910841
540	0.9299067036	0.2589695808
541	0.9298999871	0.2586030689
542	0.9300974825	0.2582703731
543	0.9301256223	0.2579878363
544	0.9302844184	0.257458406
545	0.9304323554	0.257213896
546	0.9304040821	0.2569750053
547	0.9304693796	0.2564568485
548	0.9307776903	0.2561902012
549	0.9307414797	0.2559588701
550	0.9306703959	0.2555563231
551	0.9309576289	0.2551501247
552	0.9309952846	0.2546687596
553	0.9315415795	0.2541933944
554	0.9314260844	0.2538817899
555	0.9312379901	0.2536213133
556	0.9314109858	0.2534296508
557	0.9314643667	0.2531190726
558	0.9315320551	0.2525788271
559	0.931589158	0.2521999538
560	0.9317853642	0.2518239348
561	0.9315374078	0.2513999217
562	0.9316694733	0.2511749862
563	0.9317030601	0.2510153255
564	0.9319792236	0.2505620359
565	0.9319855222	0.2503493745
566	0.931940044	0.2500358535
567	0.932216859	0.2499163622
568	0.9324854451	0.2494035285
569	0.9324849614	0.2490754666
570	0.9324652047	0.248858472
571	0.9324551825	0.2486290768
572	0.9328115398	0.2484554495
573	0.9328690776	0.2480822271
574	0.9328932921	0.247743458
575	0.9326098722	0.2475082504
576	0.9328598786	0.2470804031
577	0.9329151301	0.2468769744
578	0.933051707	0.2466158452
579	0.9329963332	0.2464756666
580	0.9330404934	0.2462418935
581	0.9329404091	0.2459340661
582	0.9331903867	0.2455838385
583	0.9332898589	0.2454149531
584	0.933234476	0.2450792423
585	0.9333431853	0.2448698127
586	0.9334273475	0.2447626926
587	0.9335662204	0.2444555159
588	0.9336049497	0.244376158
589	0.933635184	0.2440773884
590	0.9335970299	0.2437826593
591	0.9335784511	0.2435810251
592	0.9337222354	0.2431540879
593	0.9338311144	0.242793783
594	0.9338496759	0.2425028288
595	0.9337937886	0.2422758703
